"legislator","ideal_point","gc"
"Barchiesi_Chávez_Chiara",100,2
"Pérez_Salinas_Catalina",106,0
"De la Carrera_Correa_Gonzalo",114,25
"Flores_Oporto_Camila",124,10
"De Rementería_Venegas_Tomás",130,3
"Naveillan_Arriagada_Gloria",133,22
"Labbé_Martínez_Cristian",143,17
"Urruticoechea_Ríos_Cristóbal",155,36
"Del Real_Mihovilovic_Catalina",182,2
"Kaiser_Barents-Von Hohenhagen_Johannes",186,38
"Romero_Sáez_Leonidas",189,37
"Carter_Fernández_Álvaro",193,10
"Cid_Versalovic_Sofía",196,4
"Schubert_Rubio_Stephan",211,4
"Jürgensen_Rundshagen_Harry",214,2
"Hertz_Cádiz_Carmen",222,6
"Trisotti_Martínez_Renzo",222,4
"Labra_Besserer_Paula",224,22
"Araya_Lerdo de Tejada_Cristián",228,5
"Arroyo_Muñoz_Roberto",229,39
"Romero_Leiva_Agustín",230,4
"Calisto_Águila_Miguel Ángel",232,34
"Durán_Espinoza_Jorge",232,31
"Meza_Pereira_José Carlos",233,2
"Moreno_Bascur_Benjamín",233,2
"Irarrázaval_Rossel_Juan",234,4
"Bobadilla_Muñoz_Sergio",235,25
"Concha_Smith_Sara",238,19
"Fuenzalida_Cobo_Juan",240,33
"Sánchez_Ossa_Luis",240,4
"Ramírez_Diez_Guillermo",241,21
"Muñoz_González_Francesca",251,21
"Lavín_León_Joaquín",252,20
"Lee_Flores_Enrique",252,43
"Jiles_Moreno_Pamela",272,63
"Rivas_Sánchez_Gaspar",273,62
"Coloma_Álamos_Juan Antonio",274,26
"Ahumada_Palma_Yovana",280,40
"Matheson_Villán_Christian",280,45
"Cordero_Velásquez_María Luisa",281,16
"Alessandri_Vergara_Jorge",285,16
"González_Villarroel_Mauro",289,33
"Martínez_Ramírez_Cristóbal",289,34
"Weisse_Novoa_Flor",290,41
"Durán_Salinas_Eduardo",295,32
"Schalper_Sepúlveda_Diego",295,29
"Leal_Bizama_Henry",298,24
"Beltrán_Silva_Juan Carlos",305,18
"Sulantay_Olivares_Marco Antonio",305,32
"Benavente_Vergara_Gustavo",306,23
"Donoso_Castro_Felipe",307,24
"Moreira_Barros_Cristhian",308,16
"Castro_Bascuñán_José Miguel",310,32
"Rey_Martínez_Hugo",311,17
"Undurraga_Gazitúa_Francisco",315,23
"Pérez_Cartes_Marlene",316,49
"Celis_Montt_Andrés",319,14
"Alinco_Bustos_René",321,67
"Von Mühlenbrock_Zamora_Gastón",321,22
"Raphael_Mora_Marcia",324,21
"Marzán_Pinto_Carolina",327,8
"Cornejo_Lagos_Eduardo",329,10
"Santibáñez_Novoa_Marisela",337,13
"Araya_Guerrero_Jaime",338,22
"González_Olea_Marta",344,9
"Ñanco_Vásquez_Coca Ericka",346,5
"Bravo_Salinas_Marta",347,9
"Cariola_Oliva_Karol",347,4
"Jouannet_Valderrama_Andrés",351,30
"Teao_Drago_Hotuiti",352,23
"Pino_Fuentes_Víctor Alejandro",354,39
"Romero_Talguia_Natalia",354,33
"Berger_Fett_Bernardo",356,14
"Guzmán_Zepeda_Jorge",357,30
"Mellado_Suazo_Miguel",357,27
"Bórquez_Montecinos_Fernando",358,26
"Lilayu_Vivanco_Daniel",358,25
"Winter_Etcheberry_Gonzalo",359,11
"Olivera_De La Fuente_Erika",364,32
"Sepúlveda_Soto_Alexis",368,14
"Rathgeb_Schifferli_Jorge",369,22
"Castillo_Rojas_Nathalie",373,8
"Longton_Herrera_Andrés",373,19
"Sauerbaum_Muñoz_Frank",373,19
"Veloso_Ávila_Consuelo",374,6
"Barrios_Oteíza_Arturo",375,14
"Becker_Alvear_Miguel Ángel",382,21
"Morales_Maldonado_Carla",385,14
"Ossandón_Irarrázabal_Ximena",386,22
"Arce_Castro_Mónica",393,21
"Mirosevic_Verdugo_Vlado",396,27
"Lagomarsino_Guzmán_Tomás",405,22
"Hirsch_Goldschmidt_Tomás",412,11
"Mulet_Martínez_Jaime",412,6
"Gazmuri_Vieira_Ana María",420,8
"Riquelme_Aliaga_Marcela",420,31
"Aedo_Jeldres_Eric",426,36
"Malla_Valenzuela_Luis",427,23
"Rosas_Barrientos_Patricio",435,25
"Pérez_Olea_Joanna",436,44
"Bello_Campos_María Francisca",437,9
"Soto_Mardones_Raúl",438,16
"Musante_Müller_Camila",439,14
"Bernales_Maldonado_Alejandro",440,50
"Camaño_Cárdenas_Felipe",441,41
"Giordano_Salazar_Andrés",444,3
"Manouchehri_Lobos_Daniel",446,9
"Orsini_Pascal_Maite",446,5
"Yeomans_Araya_Gael",451,3
"Tello_Rojas_Carolina",452,6
"Venegas_Salazar_Nelson",453,8
"Melo_Contreras_Daniel",457,10
"Mix_Jiménez_Claudia",461,15
"Saffirio_Espinoza_Jorge",462,42
"Brito_Hasbún_Jorge",463,4
"Medina_Vásquez_Karen",464,47
"Ibáñez_Cotroneo_Diego",465,6
"Molina_Milman_Helia",465,17
"Videla_Castillo_Sebastián",473,20
"Barrera_Moreno_Boris",474,8
"Leiva_Carvajal_Raúl",474,10
"Soto_Ferrada_Leonardo",477,22
"Ramírez_Pascal_Matías",478,11
"Cuello_Peña y Lillo_Luis Alberto",480,8
"Palma_Pérez_Hernán",486,15
"Pizarro_Sierra_Lorena",487,9
"Tapia_Ramos_Cristián",488,10
"Santana_Castillo_Juan",490,22
"Schneider_Videla_Emilia",490,8
"Acevedo_Sáez_María Candelaria",491,10
"Bugueño_Sotelo_Félix",492,15
"Nuyado_Ancapichún_Emilia",492,13
"Placencia_Cabello_Alejandra",493,6
"Oyarzo_Figueroa_Rubén Darío",494,18
"Sagardía_Cabezas_Clara",494,7
"Astudillo_Peiretti_Danisa",495,14
"Bravo_Castro_Ana María",497,12
"Cicardini_Milla_Daniella",497,7
"Morales_Alvarado_Javiera",497,9
"Cifuentes_Lillo_Ricardo",498,27
"Undurraga_Vicuña_Alberto",498,26
"Sáez_Quiroz_Jaime",500,9
"González_Gatica_Félix",503,23
"Naranjo_Ortiz_Jaime",503,15
"Serrano_Salazar_Daniela",505,9
"Rojas_Valderrama_Camila",506,6
"Delgado_Riquelme_Viviana",509,11
"Mellado_Pino_Cosme",512,7
"Barría_Angulo_Héctor",513,22
"Celedón_Fernández_Roberto",513,14
"Bianchi_Chelech_Carlos",524,12
"Fries_Monleón_Lorena",539,12
"Ulloa_Aguilera_Héctor",548,20
"Ilabaca_Cerda_Marcos",552,18
"Ojeda_Rebolledo_Mauricio",NA,NA
"Pulgar_Castillo_Francisco",NA,NA
